Timestamp,CPU Usage,Memory Usage,Load Average 1min,Load Average 5min,Load Average 15min,Free Memory (bytes),Total Memory (bytes)
"2025-10-14T19:27:59.428Z",0.11916368596007532,0.9932746887207031,1.4755859375,1.578125,1.81494140625,57769984,8589934592
"2025-10-14T19:28:04.434Z",0.11916317333492765,0.9896945953369141,1.59765625,1.6015625,1.82177734375,88522752,8589934592
"2025-10-14T19:28:09.435Z",0.11916215012267284,0.9911003112792969,1.70947265625,1.62451171875,1.82861328125,76447744,8589934592
"2025-10-14T19:28:14.436Z",0.11916083961994217,0.9937686920166016,1.732421875,1.63037109375,1.82958984375,53526528,8589934592
"2025-10-14T19:28:19.438Z",0.11916293930236799,0.9947528839111328,1.67333984375,1.61962890625,1.82470703125,45072384,8589934592
"2025-10-14T19:28:24.440Z",0.11917624083842437,0.9734878540039062,1.69921875,1.62548828125,1.82568359375,227786752,8589934592
"2025-10-14T19:28:29.442Z",0.11918737293460446,0.9824028015136719,1.72314453125,1.63134765625,1.82666015625,151191552,8589934592
"2025-10-14T19:28:34.450Z",0.11919995757213198,0.9857711791992188,1.6650390625,1.62060546875,1.82177734375,119521280,8589934592
"2025-10-14T19:28:39.454Z",0.11921410381304243,0.9901847839355469,2.01171875,1.69287109375,1.84619140625,84328448,8589934592
"2025-10-14T19:28:44.456Z",0.1192223440908472,0.9876651763916016,2.0107421875,1.69775390625,1.8466796875,106037248,8589934592
"2025-10-14T19:28:49.459Z",0.11923548548096974,0.9890995025634766,2.169921875,1.73583984375,1.85888671875,93683712,8589934592
"2025-10-14T19:28:54.462Z",0.1192430078500114,0.9932308197021484,2.63671875,1.83935546875,1.89453125,58163200,8589934592
"2025-10-14T19:28:59.463Z",0.11924487078358925,0.9917449951171875,2.58544921875,1.841796875,1.89501953125,70877184,8589934592
"2025-10-14T19:29:04.471Z",0.11924329224533314,0.9879226684570312,2.4580078125,1.82763671875,1.8896484375,103841792,8589934592
"2025-10-14T19:29:09.473Z",0.11924077725598614,0.9901390075683594,2.3408203125,1.8134765625,1.88427734375,84705280,8589934592
"2025-10-14T19:29:14.473Z",0.11923839669520275,0.9908485412597656,2.2333984375,1.7998046875,1.87890625,78610432,8589934592
"2025-10-14T19:29:19.475Z",0.11923765622406868,0.9935016632080078,2.37451171875,1.8359375,1.89111328125,55820288,8589934592
